Looking for PortfolioManager address starting with 0x40Ac2e...
(Case-insensitive: will match 0x40Ac2e, 0x40ac2e, 0x40AC2E, etc.)
Deployer address: 0x40FecA5f7156030b78200450852792ea93f7c6cd
Generating bytecode...
Bytecode hash: 0x6bacbee0128635d7bcd8eaf92b8a47421f98d9bb390060519ed422713ef074e3
Starting search...
Target prefix: 0x40Ac2e... (first 6 hex characters, case-insensitive)
Press Ctrl+C to stop

Attempts: 100,000 | Speed: 1116/s | Current: 0xa16c7eea49fc2d4c644d03d80e07fc0f79d1a1ff
Attempts: 200,000 | Speed: 1102/s | Current: 0x2415995c410ad0fc4bd659be799036f824a6aecf
Attempts: 300,000 | Speed: 1124/s | Current: 0xb304895f3fd3a77ac390549468df1f498e96c292
Attempts: 400,000 | Speed: 1130/s | Current: 0x81b6f7515c1f69335bfa4f40b0485736d561cad7
Attempts: 500,000 | Speed: 1127/s | Current: 0xa0e807c156b6718f9e36ebad7d1824e3c733fe19
Attempts: 600,000 | Speed: 1130/s | Current: 0x03376d90d7a01193dd72cbbccc1cb9604005e6a2
Attempts: 700,000 | Speed: 1137/s | Current: 0x0953dd8c7b04bc47d35b7ada9bc1bedaf3041a16
Attempts: 800,000 | Speed: 1141/s | Current: 0x728708d166071b89d6486bcdcc6f6af4d9f018c3
Attempts: 900,000 | Speed: 1143/s | Current: 0x6b442b94799c301aff4ab09be548640c91871c58
Attempts: 1,000,000 | Speed: 1144/s | Current: 0x7e8bd6ab07255ddfd5cb1067bce77c70db026cd5
Attempts: 1,100,000 | Speed: 1147/s | Current: 0x6f15f68c0d4a961b86f18d54a8355d9b57c58461
Attempts: 1,200,000 | Speed: 1148/s | Current: 0xb8abb0fa0baebb760931505c93a828e5fe846fbf
Attempts: 1,300,000 | Speed: 1144/s | Current: 0xd64f677b81d242379bf7b327d26a605793de553c
Attempts: 1,400,000 | Speed: 1145/s | Current: 0x4eab133d79ad6d00981b8877f92469f5ac3c7a02
Attempts: 1,500,000 | Speed: 1146/s | Current: 0xca4687f8d5b3ce9197fa6d36fd72560292560f29
Attempts: 1,600,000 | Speed: 1147/s | Current: 0x487911ed26801a7861c3b5519622f1166782a733
Attempts: 1,700,000 | Speed: 1146/s | Current: 0xc75af05ac6ade301fdd53706f0b5c3063d405347
Attempts: 1,800,000 | Speed: 1146/s | Current: 0x01fa51446d0dc281cd658db5f5d27e3a258fc4ad
Attempts: 1,900,000 | Speed: 1147/s | Current: 0x3c09d135d8efc4fef4d1451aa3edb3973be69ff0
Attempts: 2,000,000 | Speed: 1148/s | Current: 0xf30896ae1d497a1e2d66f150fa734ee990e5c5ad
Attempts: 2,100,000 | Speed: 1150/s | Current: 0xd78f40d21466e628bad233f7b79c141486cc485e
Attempts: 2,200,000 | Speed: 1150/s | Current: 0xc8efb38d48304a13947704974c992f27ff2a2ead
Attempts: 2,300,000 | Speed: 1150/s | Current: 0x7df64eb4ab5316df442be2dfa7d16da14955f405
Attempts: 2,400,000 | Speed: 1150/s | Current: 0x850e31ed12439562b05f32a1d88e26973ebac09a
Attempts: 2,500,000 | Speed: 1149/s | Current: 0xbeef315357b25d94918a35abd82e69ede3718194
Attempts: 2,600,000 | Speed: 1150/s | Current: 0xac129d5fcb92a58d232b10a9bcb895221bf8360b
Attempts: 2,700,000 | Speed: 1149/s | Current: 0xe52e3d01dccc4e5d4003340d1f4d391337e08cb7
Attempts: 2,800,000 | Speed: 1148/s | Current: 0x984bf0b8bf7d39b9331732b4b537fcd4b98f6de0
Attempts: 2,900,000 | Speed: 1149/s | Current: 0xfc8df36b98b448bddff0afdb0972ecc21cb66f3f
Attempts: 3,000,000 | Speed: 1149/s | Current: 0x737d467644fc0e3e40851762b4b5214b81673489
Attempts: 3,100,000 | Speed: 1148/s | Current: 0xeea7aeaaab414736a3c3ab156a4529c240cac8ee
Attempts: 3,200,000 | Speed: 1148/s | Current: 0x956a6553dc01d9a6def0438f09f921a824eee023
Attempts: 3,300,000 | Speed: 1148/s | Current: 0x61cd53f85bcc2a47a68a74176714fe03cdc23b0a
Attempts: 3,400,000 | Speed: 1148/s | Current: 0x54dd22e7bc543bca34a78af8362d18aa2ed13041
Attempts: 3,500,000 | Speed: 1149/s | Current: 0x4222fb702ca89ec0a12191d525abde1f1eab61c3
Attempts: 3,600,000 | Speed: 1150/s | Current: 0xd874ff40a180e5dc94fe82a99883b97026baa460
Attempts: 3,700,000 | Speed: 1150/s | Current: 0x7b92a2464282d7838330b3558783bf9416d1c31a
Attempts: 3,800,000 | Speed: 1150/s | Current: 0x27533dce2c8a60925fc228816af4778073f4fa02
Attempts: 3,900,000 | Speed: 1149/s | Current: 0x562abb698568f5fa0b7e09d733e170909d5ed17c
